danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0.635,0.903,-3.588,0.0323,0.0472,0.0,0.255,0.559,100.08,182693.0,4.0
0.612,0.841,-3.795,0.0353,0.000907,0.0,0.37,0.499,104.986,227373.0,4.0
0.631,0.658,-5.313,0.0281,0.144,0.0,0.22,0.7,80.996,227573.0,4.0
0.596,0.935,-2.794,0.0855,0.129,0.0,0.108,0.678,130.029,177292.0,4.0
0.661,0.75,-5.497,0.0314,0.0303,0.000132,0.0849,0.828,130.077,157080.0,4.0
0.47,0.852,-5.874,0.0933,0.163,2.04e-06,0.281,0.773,168.063,183200.0,4.0
0.665,0.621,-8.571,0.0524,0.38,0.0,0.119,0.632,147.975,222400.0,4.0
0.846,0.711,-7.939,0.061,0.496,0.0,0.247,0.883,120.013,197840.0,4.0
0.492,0.681,-7.038,0.075,0.143,0.0,0.199,0.511,178.01,212445.0,4.0
0.582,0.568,-6.051,0.0297,0.196,0.0,0.0841,0.64,76.025,207187.0,4.0
0.488,0.637,-7.63,0.0401,0.265,0.0,0.106,0.23,88.872,208653.0,4.0
0.643,0.783,-6.458,0.0856,0.047,0.0,0.083,0.579,154.084,163870.0,4.0
0.442,0.784,-4.001,0.0344,0.0527,0.0,0.0597,0.552,170.139,173187.0,4.0
0.333,0.412,-8.633,0.029,0.0977,0.0,0.113,0.474,85.028,205453.0,4.0
0.612,0.799,-4.603,0.0275,0.00898,0.0,0.172,0.687,125.976,188253.0,4.0
0.553,0.747,-5.432,0.0279,0.106,0.0,0.154,0.521,90.012,234307.0,4.0
0.557,0.807,-5.428,0.0825,0.189,0.0,0.234,0.578,81.045,171493.0,4.0
0.618,0.911,-3.323,0.05,0.216,0.0,0.132,0.501,102.956,200280.0,4.0
0.657,0.695,-4.493,0.0321,0.0108,0.0,0.0822,0.683,65.997,212107.0,4.0
0.727,0.974,-2.261,0.0664,0.103,0.000532,0.174,0.965,79.526,235213.0,4.0
0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992,213428.0,4.0
0.664,0.714,-6.645,0.111,0.0353,8.42e-06,0.0843,0.71,101.969,197933.0,4.0
0.53,0.422,-6.262,0.0342,0.407,0.0,0.107,0.349,119.964,221360.0,4.0
0.699,0.529,-7.548,0.0487,0.0317,3.59e-05,0.285,0.121,119.987,206167.0,4.0
0.64,0.533,-6.596,0.0706,0.119,0.0,0.0864,0.515,99.968,220781.0,4.0
0.635,0.691,-4.862,0.258,0.555,0.0,0.097,0.638,82.142,217419.0,4.0
0.392,0.839,-1.921,0.193,0.158,0.0,0.3,0.232,168.001,238693.0,4.0
0.72,0.763,-4.068,0.0523,0.406,0.0,0.18,0.742,101.965,251088.0,4.0
0.728,0.859,-5.237,0.137,0.0401,0.0,0.111,0.535,65.043,214240.0,4.0
0.583,0.829,-4.603,0.134,0.00864,0.0,0.0426,0.575,174.028,275987.0,4.0
0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,182307.0,4.0
0.754,0.804,-3.177,0.0853,0.00332,0.0,0.0329,0.818,119.968,203867.0,4.0
0.743,0.766,-6.375,0.0265,0.0873,0.0,0.509,0.61,127.96,289133.0,4.0
0.672,0.738,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,277040.0,4.0
0.836,0.509,-13.668,0.0548,0.467,4.1e-06,0.0436,0.949,138.714,276493.0,4.0
0.663,0.6,-10.87,0.032,0.43,0.0,0.184,0.8,129.991,151667.0,4.0
0.629,0.793,-5.942,0.0346,0.00952,1.15e-06,0.218,0.588,95.981,231213.0,4.0
0.556,0.161,-13.944,0.0297,0.505,4.36e-05,0.28,0.588,126.534,201800.0,4.0
0.701,0.803,-6.786,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,320680.0,4.0
0.596,0.869,-11.97,0.037,0.0116,0.173,0.0678,0.944,109.902,238733.0,4.0
0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,204280.0,4.0
0.684,0.47,-9.088,0.0325,0.802,0.0,0.0711,0.381,79.934,163133.0,4.0
0.495,0.781,-8.109,0.0413,0.254,0.0,0.395,0.473,119.206,248200.0,4.0
0.73,0.862,-5.876,0.0313,0.0398,0.0,0.0818,0.77,104.018,200560.0,4.0
0.426,0.584,-5.293,0.296,0.0383,0.0,0.188,0.272,193.437,193213.0,4.0
0.442,0.83,-4.02,0.146,0.128,0.0,0.129,0.578,89.338,215747.0,4.0
0.726,0.778,-2.483,0.0784,0.00851,0.0,0.082,0.868,125.0,198840.0,4.0
0.783,0.58,-6.548,0.0408,0.0114,2.28e-06,0.108,0.66,120.021,193400.0,4.0
0.609,0.661,-9.549,0.0252,0.0915,0.000482,0.254,0.892,97.93,284413.0,4.0
0.522,0.882,-3.216,0.0359,0.0599,0.00021,0.33,0.815,122.541,250627.0,4.0
0.741,0.697,-7.028,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,160133.0,4.0
0.692,0.803,-8.627,0.0301,0.151,0.000808,0.181,0.981,125.919,215067.0,4.0
0.949,0.876,-6.472,0.0567,0.0128,0.0,0.124,0.483,117.579,250413.0,4.0
0.407,0.147,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400.0,3.0
0.582,0.952,-3.848,0.0731,0.00324,0.0,0.223,0.655,103.027,276320.0,4.0
0.635,0.841,-5.379,0.0422,0.0134,0.0,0.0622,0.424,109.021,220734.0,4.0
0.811,0.41,-8.214,0.0391,0.0365,6.63e-06,0.0799,0.626,103.965,254493.0,4.0
0.617,0.435,-13.547,0.0256,0.178,0.0,0.0822,0.601,84.382,256667.0,4.0
0.606,0.826,-6.04,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,210173.0,4.0
0.566,0.713,-4.25,0.0417,0.645,0.0,0.114,0.807,169.864,238147.0,4.0
0.618,0.736,-3.937,0.0308,0.157,0.0,0.073,0.307,118.982,235280.0,4.0
0.537,0.66,-7.174,0.0296,0.455,0.0,0.135,0.574,148.096,298373.0,4.0
0.573,0.902,-7.638,0.054,0.018,0.00125,0.0928,0.876,84.412,225280.0,4.0
0.581,0.963,-4.087,0.0981,0.0295,0.0,0.139,0.788,129.992,204160.0,4.0
0.486,0.647,-8.066,0.0337,0.189,0.0,0.305,0.628,162.218,190747.0,4.0
0.464,0.405,-12.538,0.033,0.208,1.1e-05,0.0749,0.514,95.852,235915.0,4.0
0.666,0.868,-6.188,0.0407,0.166,0.0,0.0828,0.806,97.039,217547.0,4.0
0.663,0.861,-3.398,0.109,0.0338,0.0,0.082,0.654,119.963,220800.0,4.0
0.482,0.706,-5.762,0.0607,0.135,0.00106,0.105,0.144,92.513,224920.0,4.0
0.589,0.389,-5.972,0.028,0.851,0.0,0.0772,0.501,89.1,197470.0,4.0
0.621,0.82,-4.865,0.0367,0.332,0.0,0.104,0.452,144.905,230192.0,4.0
0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,233478.0,4.0
0.578,0.574,-6.209,0.0454,0.196,0.0,0.083,0.301,174.152,261240.0,4.0
0.704,0.558,-7.273,0.0542,0.148,0.0,0.107,0.245,110.444,222091.0,4.0
0.794,0.711,-5.124,0.0699,0.3,0.0,0.0955,0.955,174.915,189109.0,4.0
0.484,0.731,-6.694,0.0379,0.431,0.0,0.151,0.51,101.654,204280.0,4.0
0.358,0.557,-7.398,0.059,0.695,0.0,0.0902,0.494,85.043,211467.0,4.0
0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96,242947.0,4.0
0.705,0.63,-5.842,0.056,0.157,0.0,0.108,0.641,139.957,225707.0,4.0
0.706,0.751,-6.323,0.0708,0.173,0.0,0.168,0.195,91.031,182307.0,4.0
0.691,0.543,-8.161,0.143,0.0112,0.0,0.098,0.587,80.047,230853.0,4.0
0.894,0.791,-4.699,0.112,0.0183,0.0,0.0388,0.583,105.018,250373.0,4.0
0.654,0.684,-4.509,0.032,0.0108,0.0,0.0768,0.7,66.001,212280.0,4.0
0.652,0.698,-4.667,0.042,0.00112,0.000115,0.0886,0.47,96.021,202067.0,4.0
0.442,0.83,-4.02,0.146,0.128,0.0,0.129,0.578,89.338,215747.0,4.0
0.669,0.822,-4.288,0.043,0.0339,0.000142,0.231,0.43,120.011,277107.0,4.0
0.822,0.737,-4.542,0.0314,0.0261,4.19e-05,0.18,0.753,118.994,241933.0,4.0
0.755,0.832,-2.741,0.116,0.0746,1.27e-06,0.291,0.735,120.032,199693.0,4.0
0.666,0.83,-5.715,0.0751,0.0123,0.0,0.191,0.702,113.03,236002.0,4.0
0.688,0.702,-4.792,0.0499,0.0215,0.0,0.128,0.74,94.006,192191.0,4.0
0.568,0.308,-13.063,0.0274,0.69,0.0,0.104,0.721,85.917,190000.0,4.0
0.684,0.253,-13.561,0.0341,0.985,0.0317,0.118,0.521,102.94,237867.0,4.0
0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,199080.0,4.0
0.595,0.653,-4.935,0.0265,0.246,0.0,0.264,0.542,128.93,241533.0,4.0
0.491,0.802,-7.106,0.0392,0.25,0.0,0.387,0.472,119.25,248907.0,4.0
0.674,0.584,-8.204,0.0318,0.466,0.00195,0.187,0.96,98.293,180893.0,4.0
0.331,0.55,-6.483,0.0272,0.605,3.96e-06,0.192,0.429,177.734,339000.0,3.0
0.596,0.605,-12.145,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800.0,4.0
0.511,0.596,-6.56,0.224,0.53,0.0,0.0798,0.554,158.063,226014.0,4.0
0.84,0.481,-7.152,0.033,0.199,0.0,0.0857,0.96,95.513,244386.0,4.0
0.631,0.927,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962,222160.0,4.0
0.503,0.62,-6.069,0.0296,0.471,0.0,0.159,0.713,116.599,160360.0,4.0
