artist,song,popularity,uri,url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature,0,clusters
Aimee Mann,You Could Make A Killing,35,spotify:track:6SNL85ZHgi5FjmVsX48o9j,https://open.spotify.com/track/6SNL85ZHgi5FjmVsX48o9j,0.374,0.419,3.0,-9.902,1.0,0.0301,0.501,0.019,0.188,0.171,132.729,audio_features,6SNL85ZHgi5FjmVsX48o9j,https://api.spotify.com/v1/tracks/6SNL85ZHgi5FjmVsX48o9j,https://api.spotify.com/v1/audio-analysis/6SNL85ZHgi5FjmVsX48o9j,215467.0,3.0,,6
Massive Attack,Unfinished Sympathy - 2006 Digital Remaster,0,spotify:track:7cFfFVVubc4K5qB0jGyguY,https://open.spotify.com/track/7cFfFVVubc4K5qB0jGyguY,0.592,0.891,7.0,-5.637,1.0,0.0316,0.0145,0.141,0.394,0.717,114.348,audio_features,7cFfFVVubc4K5qB0jGyguY,https://api.spotify.com/v1/tracks/7cFfFVVubc4K5qB0jGyguY,https://api.spotify.com/v1/audio-analysis/7cFfFVVubc4K5qB0jGyguY,312293.0,4.0,,3
Sade,Your Love Is King - Remastered,56,spotify:track:5EwNOL1CWnM74ptsVvW9OV,https://open.spotify.com/track/5EwNOL1CWnM74ptsVvW9OV,0.727,0.493,9.0,-5.054,1.0,0.0269,0.476,5.69e-05,0.0354,0.616,134.608,audio_features,5EwNOL1CWnM74ptsVvW9OV,https://api.spotify.com/v1/tracks/5EwNOL1CWnM74ptsVvW9OV,https://api.spotify.com/v1/audio-analysis/5EwNOL1CWnM74ptsVvW9OV,221293.0,3.0,,6
Sade,Smooth Operator - 2011 Remastered,63,spotify:track:28XDE6yXI6Bp4U3nLSGqzp,https://open.spotify.com/track/28XDE6yXI6Bp4U3nLSGqzp,0.688,0.684,9.0,-5.181,0.0,0.032,0.0757,0.000832,0.0441,0.96,119.193,audio_features,28XDE6yXI6Bp4U3nLSGqzp,https://api.spotify.com/v1/tracks/28XDE6yXI6Bp4U3nLSGqzp,https://api.spotify.com/v1/audio-analysis/28XDE6yXI6Bp4U3nLSGqzp,256147.0,4.0,,9
Molly Johnson,Lucky,0,spotify:track:5TNcyYox0QRxtgOaDmj6rP,https://open.spotify.com/track/5TNcyYox0QRxtgOaDmj6rP,0.722,0.365,8.0,-7.986,1.0,0.038,0.777,0.0,0.101,0.554,117.58,audio_features,5TNcyYox0QRxtgOaDmj6rP,https://api.spotify.com/v1/tracks/5TNcyYox0QRxtgOaDmj6rP,https://api.spotify.com/v1/audio-analysis/5TNcyYox0QRxtgOaDmj6rP,160627.0,4.0,,0
Molly Johnson,Miss Celie's Blues,0,spotify:track:7nh5yTMPBKlsENuczYhOc9,https://open.spotify.com/track/7nh5yTMPBKlsENuczYhOc9,0.606,0.407,0.0,-8.944,1.0,0.0429,0.855,0.00568,0.405,0.564,95.893,audio_features,7nh5yTMPBKlsENuczYhOc9,https://api.spotify.com/v1/tracks/7nh5yTMPBKlsENuczYhOc9,https://api.spotify.com/v1/audio-analysis/7nh5yTMPBKlsENuczYhOc9,226333.0,4.0,,0
Molly Johnson,Melody,0,spotify:track:17UmC8YkAs84a0Cvk3Xxt3,https://open.spotify.com/track/17UmC8YkAs84a0Cvk3Xxt3,0.585,0.282,9.0,-12.801,0.0,0.0505,0.603,0.0,0.106,0.513,80.516,audio_features,17UmC8YkAs84a0Cvk3Xxt3,https://api.spotify.com/v1/tracks/17UmC8YkAs84a0Cvk3Xxt3,https://api.spotify.com/v1/audio-analysis/17UmC8YkAs84a0Cvk3Xxt3,204960.0,4.0,,0
Bonobo,Terrapin,0,spotify:track:4GEtOPm5unfpSL2zweIGiR,https://open.spotify.com/track/4GEtOPm5unfpSL2zweIGiR,0.555,0.323,10.0,-16.403,1.0,0.0355,0.787,0.931,0.112,0.0393,152.112,audio_features,4GEtOPm5unfpSL2zweIGiR,https://api.spotify.com/v1/tracks/4GEtOPm5unfpSL2zweIGiR,https://api.spotify.com/v1/audio-analysis/4GEtOPm5unfpSL2zweIGiR,279933.0,4.0,,4
Bright Eyes,No One Would Riot For Less,9,spotify:track:1hjHahCEeplmWDeu0KFKhT,https://open.spotify.com/track/1hjHahCEeplmWDeu0KFKhT,0.32,0.295,11.0,-10.079,0.0,0.0274,0.176,0.178,0.099,0.22,137.95,audio_features,1hjHahCEeplmWDeu0KFKhT,https://api.spotify.com/v1/tracks/1hjHahCEeplmWDeu0KFKhT,https://api.spotify.com/v1/audio-analysis/1hjHahCEeplmWDeu0KFKhT,310520.0,4.0,,0
Cat Power,(I Can’t Get No) Satisfaction,0,spotify:track:4v2laH2faHbBeDumWMLHIZ,https://open.spotify.com/track/4v2laH2faHbBeDumWMLHIZ,0.604,0.104,9.0,-16.739,0.0,0.0302,0.922,0.00052,0.107,0.25,99.325,audio_features,4v2laH2faHbBeDumWMLHIZ,https://api.spotify.com/v1/tracks/4v2laH2faHbBeDumWMLHIZ,https://api.spotify.com/v1/audio-analysis/4v2laH2faHbBeDumWMLHIZ,185160.0,4.0,,0
CocoRosie,Lemonade - Edit,0,spotify:track:31rmLSgoQ9xFS35ZJ29MRb,https://open.spotify.com/track/31rmLSgoQ9xFS35ZJ29MRb,0.705,0.438,4.0,-7.506,0.0,0.0342,0.604,0.0,0.099,0.214,121.983,audio_features,31rmLSgoQ9xFS35ZJ29MRb,https://api.spotify.com/v1/tracks/31rmLSgoQ9xFS35ZJ29MRb,https://api.spotify.com/v1/audio-analysis/31rmLSgoQ9xFS35ZJ29MRb,210613.0,4.0,,0
Crooked Still,Undone In Sorrow,0,spotify:track:2cjZm8yD9FQjfJYCA6Sqfg,https://open.spotify.com/track/2cjZm8yD9FQjfJYCA6Sqfg,0.356,0.372,7.0,-8.685,0.0,0.03,0.784,0.0365,0.112,0.317,101.748,audio_features,2cjZm8yD9FQjfJYCA6Sqfg,https://api.spotify.com/v1/tracks/2cjZm8yD9FQjfJYCA6Sqfg,https://api.spotify.com/v1/audio-analysis/2cjZm8yD9FQjfJYCA6Sqfg,185888.0,4.0,,0
Dido,Here With Me - Chillin with the Family Mix,5,spotify:track:2TJH3g7tsyetsFu0KwXNsj,https://open.spotify.com/track/2TJH3g7tsyetsFu0KwXNsj,0.615,0.369,11.0,-11.643,0.0,0.0327,0.267,0.0214,0.102,0.153,87.206,audio_features,2TJH3g7tsyetsFu0KwXNsj,https://api.spotify.com/v1/tracks/2TJH3g7tsyetsFu0KwXNsj,https://api.spotify.com/v1/audio-analysis/2TJH3g7tsyetsFu0KwXNsj,316733.0,4.0,,0
Eels,Bus Stop Boxer,0,spotify:track:65loszWxbJbJe1zY2Trsph,https://open.spotify.com/track/65loszWxbJbJe1zY2Trsph,0.782,0.522,0.0,-7.861,1.0,0.0375,0.0301,0.00819,0.093,0.549,116.363,audio_features,65loszWxbJbJe1zY2Trsph,https://api.spotify.com/v1/tracks/65loszWxbJbJe1zY2Trsph,https://api.spotify.com/v1/audio-analysis/65loszWxbJbJe1zY2Trsph,222200.0,4.0,,9
Elizabeth Fraser,Moses,0,spotify:track:7a0TQDgcnMCBL64jckgJLC,https://open.spotify.com/track/7a0TQDgcnMCBL64jckgJLC,0.658,0.595,7.0,-8.508,0.0,0.0268,0.134,0.611,0.125,0.39,93.998,audio_features,7a0TQDgcnMCBL64jckgJLC,https://api.spotify.com/v1/tracks/7a0TQDgcnMCBL64jckgJLC,https://api.spotify.com/v1/audio-analysis/7a0TQDgcnMCBL64jckgJLC,242494.0,4.0,,2
Emancipator,Greenland,0,spotify:track:2SPTGg9SC5MT1FwNX4IYfx,https://open.spotify.com/track/2SPTGg9SC5MT1FwNX4IYfx,0.593,0.398,4.0,-13.301,0.0,0.0295,0.0273,0.827,0.231,0.0989,98.728,audio_features,2SPTGg9SC5MT1FwNX4IYfx,https://api.spotify.com/v1/tracks/2SPTGg9SC5MT1FwNX4IYfx,https://api.spotify.com/v1/audio-analysis/2SPTGg9SC5MT1FwNX4IYfx,191067.0,4.0,,2
Emmanuel Santarromana,Métropolitain,18,spotify:track:3oYPV3nkPquY0FbisFGvou,https://open.spotify.com/track/3oYPV3nkPquY0FbisFGvou,0.789,0.731,9.0,-6.515,0.0,0.0425,0.305,0.343,0.0332,0.885,101.999,audio_features,3oYPV3nkPquY0FbisFGvou,https://api.spotify.com/v1/tracks/3oYPV3nkPquY0FbisFGvou,https://api.spotify.com/v1/audio-analysis/3oYPV3nkPquY0FbisFGvou,212760.0,4.0,,9
Federico Aubele,Postales,0,spotify:track:0WMSOFttGVcpEK0S0Lml6n,https://open.spotify.com/track/0WMSOFttGVcpEK0S0Lml6n,0.717,0.531,7.0,-8.476,1.0,0.0661,0.157,0.00156,0.149,0.665,94.511,audio_features,0WMSOFttGVcpEK0S0Lml6n,https://api.spotify.com/v1/tracks/0WMSOFttGVcpEK0S0Lml6n,https://api.spotify.com/v1/audio-analysis/0WMSOFttGVcpEK0S0Lml6n,244465.0,4.0,,9
Fila Brazillia,Spill the Beans,0,spotify:track:0vx16d4GRsfJMHQ1gLbCtA,https://open.spotify.com/track/0vx16d4GRsfJMHQ1gLbCtA,0.57,0.367,11.0,-13.794,0.0,0.0317,0.0883,0.804,0.114,0.152,144.907,audio_features,0vx16d4GRsfJMHQ1gLbCtA,https://api.spotify.com/v1/tracks/0vx16d4GRsfJMHQ1gLbCtA,https://api.spotify.com/v1/audio-analysis/0vx16d4GRsfJMHQ1gLbCtA,266667.0,3.0,,2
Gelka,Soon,0,spotify:track:0pi4uo7DAnDx9GKSezEt0T,https://open.spotify.com/track/0pi4uo7DAnDx9GKSezEt0T,0.8,0.426,6.0,-12.152,0.0,0.0604,0.249,0.143,0.0896,0.364,92.027,audio_features,0pi4uo7DAnDx9GKSezEt0T,https://api.spotify.com/v1/tracks/0pi4uo7DAnDx9GKSezEt0T,https://api.spotify.com/v1/audio-analysis/0pi4uo7DAnDx9GKSezEt0T,253347.0,4.0,,0
The Golden Filter,Frejya's Ghost,0,spotify:track:5PvFTlLx7rdYu21KsroeT7,https://open.spotify.com/track/5PvFTlLx7rdYu21KsroeT7,0.659,0.87,1.0,-3.184,1.0,0.0457,0.000651,0.387,0.119,0.836,114.972,audio_features,5PvFTlLx7rdYu21KsroeT7,https://api.spotify.com/v1/tracks/5PvFTlLx7rdYu21KsroeT7,https://api.spotify.com/v1/audio-analysis/5PvFTlLx7rdYu21KsroeT7,277600.0,4.0,,9
Goldfrapp,Lovely Head,0,spotify:track:1AJ2nnlhd3LrES1oKF5S5s,https://open.spotify.com/track/1AJ2nnlhd3LrES1oKF5S5s,0.481,0.413,5.0,-9.863,0.0,0.0278,0.682,0.939,0.149,0.053,109.001,audio_features,1AJ2nnlhd3LrES1oKF5S5s,https://api.spotify.com/v1/tracks/1AJ2nnlhd3LrES1oKF5S5s,https://api.spotify.com/v1/audio-analysis/1AJ2nnlhd3LrES1oKF5S5s,229827.0,4.0,,4
Goldfrapp,Utopia,0,spotify:track:3wxTNS3aqb9RbBLZgJdZgH,https://open.spotify.com/track/3wxTNS3aqb9RbBLZgJdZgH,0.433,0.667,2.0,-6.431,0.0,0.0263,0.00316,0.018,0.0658,0.243,91.017,audio_features,3wxTNS3aqb9RbBLZgJdZgH,https://api.spotify.com/v1/tracks/3wxTNS3aqb9RbBLZgJdZgH,https://api.spotify.com/v1/audio-analysis/3wxTNS3aqb9RbBLZgJdZgH,258027.0,4.0,,1
Gotan Project,Epoca,35,spotify:track:6nrUDtBBWBKuSDofJpphDd,https://open.spotify.com/track/6nrUDtBBWBKuSDofJpphDd,0.785,0.743,9.0,-3.364,1.0,0.0441,0.0585,0.0799,0.139,0.698,91.016,audio_features,6nrUDtBBWBKuSDofJpphDd,https://api.spotify.com/v1/tracks/6nrUDtBBWBKuSDofJpphDd,https://api.spotify.com/v1/audio-analysis/6nrUDtBBWBKuSDofJpphDd,263813.0,4.0,,9
Grace Jones,I've Seen That Face Before (Libertango),0,spotify:track:0nBEx74HaTYI0LqUBrDfk7,https://open.spotify.com/track/0nBEx74HaTYI0LqUBrDfk7,0.803,0.407,9.0,-16.657,0.0,0.0607,0.000695,0.137,0.0535,0.966,133.326,audio_features,0nBEx74HaTYI0LqUBrDfk7,https://api.spotify.com/v1/tracks/0nBEx74HaTYI0LqUBrDfk7,https://api.spotify.com/v1/audio-analysis/0nBEx74HaTYI0LqUBrDfk7,268840.0,4.0,,9
Groove Armada,Little By Little,0,spotify:track:6rPFkvpzROrYhkdl3rcjS2,https://open.spotify.com/track/6rPFkvpzROrYhkdl3rcjS2,0.731,0.444,10.0,-13.333,0.0,0.043,0.141,0.136,0.0761,0.901,159.982,audio_features,6rPFkvpzROrYhkdl3rcjS2,https://api.spotify.com/v1/tracks/6rPFkvpzROrYhkdl3rcjS2,https://api.spotify.com/v1/audio-analysis/6rPFkvpzROrYhkdl3rcjS2,330360.0,4.0,,9
Gustavo Santaolalla,Pampa,33,spotify:track:7eku3RQWLOSrsxjgt0Y3FS,https://open.spotify.com/track/7eku3RQWLOSrsxjgt0Y3FS,0.612,0.178,4.0,-14.151,0.0,0.0522,0.88,0.485,0.0865,0.33,177.381,audio_features,7eku3RQWLOSrsxjgt0Y3FS,https://api.spotify.com/v1/tracks/7eku3RQWLOSrsxjgt0Y3FS,https://api.spotify.com/v1/audio-analysis/7eku3RQWLOSrsxjgt0Y3FS,262667.0,3.0,,6
Hellsongs,Breaking the law,0,spotify:track:2OlcbqMfxrMRr83r5AoWk5,https://open.spotify.com/track/2OlcbqMfxrMRr83r5AoWk5,0.767,0.256,9.0,-9.571,0.0,0.0598,0.797,0.0,0.11,0.433,133.445,audio_features,2OlcbqMfxrMRr83r5AoWk5,https://api.spotify.com/v1/tracks/2OlcbqMfxrMRr83r5AoWk5,https://api.spotify.com/v1/audio-analysis/2OlcbqMfxrMRr83r5AoWk5,175693.0,4.0,,0
Hope Sandoval & The Warm Inventions,Drop,0,spotify:track:7idPuHL1zHdxFWwVrBZCX4,https://open.spotify.com/track/7idPuHL1zHdxFWwVrBZCX4,0.301,0.278,5.0,-12.328,1.0,0.0287,0.576,0.195,0.103,0.113,101.087,audio_features,7idPuHL1zHdxFWwVrBZCX4,https://api.spotify.com/v1/tracks/7idPuHL1zHdxFWwVrBZCX4,https://api.spotify.com/v1/audio-analysis/7idPuHL1zHdxFWwVrBZCX4,154853.0,3.0,,6
I Monster,Daydream in Blue - BBC Radio 2 Session,0,spotify:track:6Ss99CQv1UTE2bM6NmbZh1,https://open.spotify.com/track/6Ss99CQv1UTE2bM6NmbZh1,0.838,0.178,5.0,-14.818,0.0,0.0646,0.241,0.531,0.0759,0.347,135.319,audio_features,6Ss99CQv1UTE2bM6NmbZh1,https://api.spotify.com/v1/tracks/6Ss99CQv1UTE2bM6NmbZh1,https://api.spotify.com/v1/audio-analysis/6Ss99CQv1UTE2bM6NmbZh1,238733.0,4.0,,2
Iggy Pop,I Want To Go To The Beach,34,spotify:track:3Jeyxi4v6n8VakOmiG4TPf,https://open.spotify.com/track/3Jeyxi4v6n8VakOmiG4TPf,0.541,0.278,4.0,-13.701,1.0,0.0266,0.817,0.339,0.142,0.334,76.96,audio_features,3Jeyxi4v6n8VakOmiG4TPf,https://api.spotify.com/v1/tracks/3Jeyxi4v6n8VakOmiG4TPf,https://api.spotify.com/v1/audio-analysis/3Jeyxi4v6n8VakOmiG4TPf,172880.0,4.0,,0
